raw: 温格的球队终于又踢了一场经典的比赛，2比1战胜曼联之后枪手仍然留在了夺冠集团之内，
sen pred gold
温 B-nam B-nam
格 I-nam I-nam
的 O O
球 O O
队 O O
终 O O
于 O O
又 O O
踢 O O
了 O O
一 O O
场 O O
经 O O
典 O O
的 O O
比 O O
赛 O O
， O O
2 O O
比 O O
1 O O
战 O O
胜 O O
曼 B-org B-org
联 I-org I-org
之 O O
后 O O
枪 B-org O
手 I-org O
仍 O O
然 O O
留 O O
在 O O
了 O O
夺 O O
冠 O O
集 O O
团 O O
之 O O
内 O O
， O O


raw: 郑阿姨就赶到文汇路排队拿钱，希望能将缴纳的一万余元学费拿回来，顺便找校方或者教委要个说法。
sen pred gold
郑 O O
阿 O O
姨 O O
就 O O
赶 O O
到 O O
文 B-add B-add
汇 I-add I-add
路 I-add I-add
排 O O
队 O O
拿 O O
钱 O O
， O O
希 O O
望 O O
能 O O
将 O O
缴 O O
纳 O O
的 O O
一 O O
万 O O
余 O O
元 O O
学 O O
费 O O
拿 O O
回 O O
来 O O
， O O
顺 O O
便 O O
找 O O
校 O O
方 O O
或 O O
者 O O
教 B-gov O
委 I-gov O
要 O O
个 O O
说 O O
法 O O
。 O O


raw: 我想站在雪山脚下你会被那巍峨的雪山所震撼，但你一定要在自己身体条件允许的情况下坚持走到牛奶海、
sen pred gold
我 O O
想 O O
站 O O
在 O O
雪 O B-sce
山 O I-sce
脚 O O
下 O O
你 O O
会 O O
被 O O
那 O O
巍 O O
峨 O O
的 O O
雪 O O
山 O O
所 O O
震 O O
撼 O O
， O O
但 O O
你 O O
一 O O
定 O O
要 O O
在 O O
自 O O
己 O O
身 O O
体 O O
条 O O
件 O O
允 O O
许 O O
的 O O
情 O O
况 O O
下 O O
坚 O O
持 O O
走 O O
到 O O
牛 B-sce B-sce
奶 I-sce I-sce
海 I-sce I-sce
、 O O


raw: 看来各支一二流的国家队也开始走出欧洲杯后低迷，从本期对阵情况看，似乎冷门度也不太高，你认为呢？
sen pred gold
看 O O
来 O O
各 O O
支 O O
一 O O
二 O O
流 O O
的 O O
国 O O
家 O O
队 O O
也 O O
开 O O
始 O O
走 O O
出 O O
欧 O B-org
洲 O I-org
杯 O I-org
后 O O
低 O O
迷 O O
， O O
从 O O
本 O O
期 O O
对 O O
阵 O O
情 O O
况 O O
看 O O
， O O
似 O O
乎 O O
冷 O O
门 O O
度 O O
也 O O
不 O O
太 O O
高 O O
， O O
你 O O
认 O O
为 O O
呢 O O
？ O O


raw: 就天涯网推出彩票服务频道是否是业内人士所谓的打政策“擦边球”，记者近日对此事求证彩票监管部门。
sen pred gold
就 O O
天 B-com B-com
涯 I-com I-com
网 I-com I-com
推 O O
出 O O
彩 O O
票 O O
服 O O
务 O O
频 O O
道 O O
是 O O
否 O O
是 O O
业 O O
内 O O
人 O O
士 O O
所 O O
谓 O O
的 O O
打 O O
政 O O
策 O O
[UNK] O O
擦 O O
边 O O
球 O O
[UNK] O O
， O O
记 B-pos B-pos
者 I-pos I-pos
近 O O
日 O O
对 O O
此 O O
事 O O
求 O O
证 O O
彩 B-gov B-org
票 I-gov I-org
监 I-gov I-org
管 I-gov I-org
部 I-gov I-org
门 I-gov I-org
。 O O


raw: 组委会对中国区预选赛进行了抽签分组，并且对本次抽签进行了全程直播。
sen pred gold
组 O B-gov
委 O I-gov
会 O I-gov
对 O O
中 O O
国 O O
区 O O
预 O O
选 O O
赛 O O
进 O O
行 O O
了 O O
抽 O O
签 O O
分 O O
组 O O
， O O
并 O O
且 O O
对 O O
本 O O
次 O O
抽 O O
签 O O
进 O O
行 O O
了 O O
全 O O
程 O O
直 O O
播 O O
。 O O


raw: 是目前表现最好的锋线组合之一，而沃尔科特往往能够让对手的整个左边肋疲于防守，以目前枪手的能力和状态，
sen pred gold
是 O O
目 O O
前 O O
表 O O
现 O O
最 O O
好 O O
的 O O
锋 O O
线 O O
组 O O
合 O O
之 O O
一 O O
， O O
而 O O
沃 B-nam B-nam
尔 I-nam I-nam
科 I-nam I-nam
特 I-nam I-nam
往 O O
往 O O
能 O O
够 O O
让 O O
对 O O
手 O O
的 O O
整 O O
个 O O
左 O O
边 O O
肋 O O
疲 O O
于 O O
防 O O
守 O O
， O O
以 O O
目 O O
前 O O
枪 B-org O
手 I-org O
的 O O
能 O O
力 O O
和 O O
状 O O
态 O O
， O O


raw: 如今着整个潮白河区域环境的巨大变化和环首都经济圈的快速推进，夏威夷水岸1号的稀缺价值越来越明显，
sen pred gold
如 O O
今 O O
着 O O
整 O O
个 O O
潮 B-add B-add
白 I-add I-add
河 I-add I-add
区 I-add O
